Date,IntZone,IntZoneName,CA,CAName,Positive7Day,Population
20210616,S02001236,Culter,S12000033,Aberdeen City,7,4733
20210616,S02001237,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,3,4831
20210616,S02001238,"Cults, Bieldside and Milltimber East",S12000033,Aberdeen City,3,6840
20210616,S02001239,Garthdee,S12000033,Aberdeen City,3,5581
20210616,S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,,4487
20210616,S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,,4008
20210616,S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,4,5040
20210616,S02001243,Hazlehead,S12000033,Aberdeen City,3,5648
20210616,S02001244,Summerhill,S12000033,Aberdeen City,6,3801
20210616,S02001245,Midstocket,S12000033,Aberdeen City,3,4544
20210616,S02001246,Rosemount,S12000033,Aberdeen City,3,5605
20210616,S02001247,West End North,S12000033,Aberdeen City,3,3647
20210616,S02001248,West End South,S12000033,Aberdeen City,9,6266
20210616,S02001249,City Centre West,S12000033,Aberdeen City,3,3949
20210616,S02001250,City Centre East,S12000033,Aberdeen City,,2541
20210616,S02001251,Ferryhill North,S12000033,Aberdeen City,6,4991
20210616,S02001252,Ferryhill South,S12000033,Aberdeen City,3,4949
20210616,S02001253,"Kincorth, Leggart and Nigg North",S12000033,Aberdeen City,3,3938
20210616,S02001254,"Kincorth, Leggart and Nigg South",S12000033,Aberdeen City,6,5072
20210616,S02001255,Cove South,S12000033,Aberdeen City,5,3987
20210616,S02001256,Cove North,S12000033,Aberdeen City,7,3505
20210616,S02001257,Torry West,S12000033,Aberdeen City,6,5284
20210616,S02001258,Torry East,S12000033,Aberdeen City,4,4312
20210616,S02001259,Hanover South,S12000033,Aberdeen City,3,3282
20210616,S02001260,Hanover North,S12000033,Aberdeen City,8,4042
20210616,S02001261,George Street,S12000033,Aberdeen City,8,7105
20210616,S02001262,Ashgrove,S12000033,Aberdeen City,7,3785
20210616,S02001263,"Froghall, Powis and Sunnybank",S12000033,Aberdeen City,6,5654
20210616,S02001264,Seaton,S12000033,Aberdeen City,3,4621
20210616,S02001265,Old Aberdeen,S12000033,Aberdeen City,10,4255
20210616,S02001266,Tillydrone,S12000033,Aberdeen City,23,5416
20210616,S02001267,Woodside,S12000033,Aberdeen City,8,3923
20210616,S02001268,Hilton,S12000033,Aberdeen City,8,6138
20210616,S02001269,Stockethill,S12000033,Aberdeen City,11,5391
20210616,S02001270,Mastrick,S12000033,Aberdeen City,8,4612
20210616,S02001271,Sheddocksley,S12000033,Aberdeen City,10,4840
20210616,S02001272,Cummings Park,S12000033,Aberdeen City,3,3436
20210616,S02001273,Northfield,S12000033,Aberdeen City,8,5355
20210616,S02001274,Heathryfold and Middlefield,S12000033,Aberdeen City,8,4959
20210616,S02001275,Kingswells,S12000033,Aberdeen City,7,5986
20210616,S02001276,Bucksburn South,S12000033,Aberdeen City,4,4458
20210616,S02001277,Bucksburn North,S12000033,Aberdeen City,4,5304
20210616,S02001278,Dyce,S12000033,Aberdeen City,3,5247
20210616,S02001279,Danestone,S12000033,Aberdeen City,4,3961
20210616,S02001280,Oldmachar West,S12000033,Aberdeen City,7,4480
20210616,S02001281,Oldmachar East,S12000033,Aberdeen City,4,4771
20210616,S02001282,Balgownie and Donmouth West,S12000033,Aberdeen City,,3668
20210616,S02001283,Balgownie and Donmouth East,S12000033,Aberdeen City,4,2630
20210616,S02001284,Denmore,S12000033,Aberdeen City,3,3792
20210616,S02001285,East Cairngorms,S12000034,Aberdeenshire,,3034
20210616,S02001286,Aboyne and South Deeside,S12000034,Aberdeenshire,,5266
20210616,S02001287,Mearns and Laurencekirk,S12000034,Aberdeenshire,,4457
20210616,S02001288,Mearns South and Benholm,S12000034,Aberdeenshire,,4052
20210616,S02001289,Mearns North and Inverbervie,S12000034,Aberdeenshire,,5663
20210616,S02001290,"Fetteresso, Netherley and Catter",S12000034,Aberdeenshire,,4633
20210616,S02001291,Stonehaven South,S12000034,Aberdeenshire,,5220
20210616,S02001292,Stonehaven North,S12000034,Aberdeenshire,,5641
20210616,S02001293,Newtonhill,S12000034,Aberdeenshire,3,2895
20210616,S02001294,Portlethen,S12000034,Aberdeenshire,5,4224
20210616,S02001295,Banchory-Devenick and Findon,S12000034,Aberdeenshire,7,5942
20210616,S02001296,"Dunecht, Durris and Drumoak",S12000034,Aberdeenshire,,5160
20210616,S02001297,Banchory East,S12000034,Aberdeenshire,,4181
20210616,S02001298,Banchory West,S12000034,Aberdeenshire,,2877
20210616,S02001299,Crathes and Torphins,S12000034,Aberdeenshire,,4307
20210616,S02001300,Cromar and Kildrummy,S12000034,Aberdeenshire,,3942
20210616,S02001301,Howe of Alford,S12000034,Aberdeenshire,,6303
20210616,S02001302,Kemnay,S12000034,Aberdeenshire,5,3471
20210616,S02001303,Inverurie North,S12000034,Aberdeenshire,,5318
20210616,S02001304,Inverurie South,S12000034,Aberdeenshire,,5219
20210616,S02001305,Durno-Chapel of Garioch,S12000034,Aberdeenshire,4,7205
20210616,S02001306,Kintore,S12000034,Aberdeenshire,4,5881
20210616,S02001307,Blackburn,S12000034,Aberdeenshire,,3438
20210616,S02001308,Westhill North and South,S12000034,Aberdeenshire,4,5138
20210616,S02001309,Westhill Central,S12000034,Aberdeenshire,,3813
20210616,S02001310,Garlogie and Elrick,S12000034,Aberdeenshire,17,3924
20210616,S02001311,Newmachar and Fintray,S12000034,Aberdeenshire,6,4258
20210616,S02001312,Balmedie and Potterton,S12000034,Aberdeenshire,4,5390
20210616,S02001313,Ellon East,S12000034,Aberdeenshire,,6106
20210616,S02001314,Ellon West,S12000034,Aberdeenshire,,4001
20210616,S02001315,Ythanside,S12000034,Aberdeenshire,,4634
20210616,S02001316,Ythsie,S12000034,Aberdeenshire,,6093
20210616,S02001317,Barrahill,S12000034,Aberdeenshire,,5008
20210616,S02001318,Fyvie-Rothie,S12000034,Aberdeenshire,,3919
20210616,S02001319,"Insch, Oyne and Ythanwells",S12000034,Aberdeenshire,,5059
20210616,S02001320,Clashindarroch,S12000034,Aberdeenshire,,4615
20210616,S02001321,Huntly,S12000034,Aberdeenshire,,4159
20210616,S02001322,Auchterless and Monquhitter,S12000034,Aberdeenshire,,2864
20210616,S02001323,Turriff,S12000034,Aberdeenshire,3,4437
20210616,S02001324,"Portsoy, Fordyce and Cornhill",S12000034,Aberdeenshire,,3149
20210616,S02001325,Aberchirder and Whitehills,S12000034,Aberdeenshire,,3775
20210616,S02001326,Banff,S12000034,Aberdeenshire,,4100
20210616,S02001327,Macduff,S12000034,Aberdeenshire,,3838
20210616,S02001328,Gardenstown and King Edward,S12000034,Aberdeenshire,,3143
20210616,S02001329,New Pitsligo,S12000034,Aberdeenshire,,2942
20210616,S02001330,Deer and Mormond,S12000034,Aberdeenshire,,5068
20210616,S02001331,Mintlaw,S12000034,Aberdeenshire,,2568
20210616,S02001332,Auchnagatt,S12000034,Aberdeenshire,,3139
20210616,S02001333,Cruden,S12000034,Aberdeenshire,,4402
20210616,S02001334,Peterhead Links,S12000034,Aberdeenshire,,4481
20210616,S02001335,Peterhead Bay,S12000034,Aberdeenshire,,2440
20210616,S02001336,Peterhead Harbour,S12000034,Aberdeenshire,,6002
20210616,S02001337,Peterhead Ugieside,S12000034,Aberdeenshire,,4173
20210616,S02001338,Longside and Rattray,S12000034,Aberdeenshire,,7626
20210616,S02001339,Rosehearty and Strathbeg,S12000034,Aberdeenshire,,6269
20210616,S02001340,Fraserburgh Smiddyhill,S12000034,Aberdeenshire,,4068
20210616,S02001341,Fraserburgh Lochpots,S12000034,Aberdeenshire,,2261
20210616,S02001342,Fraserburgh Central-Academy,S12000034,Aberdeenshire,,2590
20210616,S02001343,Fraserburgh Harbour and Broadsea,S12000034,Aberdeenshire,,3429
20210616,S02001344,South Angus,S12000041,Angus,12,5502
20210616,S02001345,Monikie,S12000041,Angus,6,6478
20210616,S02001346,Monifieth West,S12000041,Angus,,2777
20210616,S02001347,Monifieth East,S12000041,Angus,8,4999
20210616,S02001348,Carnoustie West,S12000041,Angus,7,5334
20210616,S02001349,Carnoustie East,S12000041,Angus,3,5341
20210616,S02001350,Arbroath Landward,S12000041,Angus,,3152
20210616,S02001351,Arbroath Kirkton,S12000041,Angus,,5315
20210616,S02001352,Arbroath Keptie,S12000041,Angus,,3616
20210616,S02001353,Arbroath Harbour,S12000041,Angus,8,4668
20210616,S02001354,Arbroath Cliffburn,S12000041,Angus,3,5056
20210616,S02001355,Arbroath Warddykes,S12000041,Angus,3,4538
20210616,S02001356,Lunan,S12000041,Angus,,2882
20210616,S02001357,Montrose South,S12000041,Angus,3,5520
20210616,S02001358,Montrose North,S12000041,Angus,,4660
20210616,S02001359,Hillside,S12000041,Angus,,3782
20210616,S02001360,Friockheim,S12000041,Angus,5,3547
20210616,S02001361,Brechin East,S12000041,Angus,,3401
20210616,S02001362,Brechin West,S12000041,Angus,,3831
20210616,S02001363,Letham and Glamis,S12000041,Angus,5,5394
20210616,S02001364,Forfar East,S12000041,Angus,11,4471
20210616,S02001365,Forfar Central,S12000041,Angus,7,4796
20210616,S02001366,Forfar West,S12000041,Angus,7,4838
20210616,S02001367,Kirriemuir Landward,S12000041,Angus,3,2833
20210616,S02001368,Kirriemuir,S12000041,Angus,13,5964
20210616,S02001369,Angus Glens,S12000041,Angus,,3505
20210616,S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,,3797
20210616,S02001371,Oban South,S12000035,Argyll and Bute,10,5703
20210616,S02001372,Oban North,S12000035,Argyll and Bute,4,2596
20210616,S02001373,Benderloch Trail,S12000035,Argyll and Bute,4,5576
20210616,S02001374,Loch Awe,S12000035,Argyll and Bute,,2222
20210616,S02001375,Mid Argyll,S12000035,Argyll and Bute,,3084
20210616,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,4,3657
20210616,S02001377,Knapdale,S12000035,Argyll and Bute,,2417
20210616,S02001378,Whisky Isles,S12000035,Argyll and Bute,4,3367
20210616,S02001379,Kintyre Trail,S12000035,Argyll and Bute,,2830
20210616,S02001380,Campbeltown,S12000035,Argyll and Bute,,4556
20210616,S02001381,Bute,S12000035,Argyll and Bute,,2463
20210616,S02001382,Rothesay Town,S12000035,Argyll and Bute,,3605
20210616,S02001383,Cowal South,S12000035,Argyll and Bute,3,2598
20210616,S02001384,Cowal North,S12000035,Argyll and Bute,6,3098
20210616,S02001385,Hunter's Quay,S12000035,Argyll and Bute,8,5054
20210616,S02001386,Dunoon,S12000035,Argyll and Bute,6,4313
20210616,S02001387,Garelochhead,S12000035,Argyll and Bute,36,6677
20210616,S02001388,Helensburgh West and Rhu,S12000035,Argyll and Bute,3,4266
20210616,S02001389,Helensburgh North,S12000035,Argyll and Bute,,4214
20210616,S02001390,Helensburgh Centre,S12000035,Argyll and Bute,5,2923
20210616,S02001391,Helensburgh East,S12000035,Argyll and Bute,3,3888
20210616,S02001392,Lomond Shore,S12000035,Argyll and Bute,,2966
20210616,S02001393,Tullibody South,S12000005,Clackmannanshire,4,4235
20210616,S02001394,Tullibody North and Glenochil,S12000005,Clackmannanshire,15,5474
20210616,S02001395,Menstrie,S12000005,Clackmannanshire,5,2897
20210616,S02001396,Alva,S12000005,Clackmannanshire,6,4637
20210616,S02001397,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire,6,2321
20210616,S02001398,Tillicoultry,S12000005,Clackmannanshire,3,4656
20210616,S02001399,Dollar and Muckhart,S12000005,Clackmannanshire,,3584
20210616,S02001400,"Clackmannan, Kennet and Forestmill",S12000005,Clackmannanshire,7,5065
20210616,S02001401,Sauchie,S12000005,Clackmannanshire,3,5163
20210616,S02001402,Alloa South and East,S12000005,Clackmannanshire,15,4441
20210616,S02001403,Alloa North,S12000005,Clackmannanshire,20,5689
20210616,S02001404,Alloa West,S12000005,Clackmannanshire,9,3378
20210616,S02001405,Stranraer West,S12000006,Dumfries and Galloway,,3748
20210616,S02001406,Stranraer East,S12000006,Dumfries and Galloway,,2581
20210616,S02001407,Stranraer South,S12000006,Dumfries and Galloway,3,3388
20210616,S02001408,Rhins North,S12000006,Dumfries and Galloway,,3589
20210616,S02001409,Rhins South,S12000006,Dumfries and Galloway,,2148
20210616,S02001410,Machars North,S12000006,Dumfries and Galloway,,2523
20210616,S02001411,Machars South,S12000006,Dumfries and Galloway,,4910
20210616,S02001412,Newton Stewart,S12000006,Dumfries and Galloway,11,5442
20210616,S02001413,Gatehouse,S12000006,Dumfries and Galloway,,3550
20210616,S02001414,Kirkcudbright,S12000006,Dumfries and Galloway,,5304
20210616,S02001415,Castle Douglas,S12000006,Dumfries and Galloway,,4828
20210616,S02001416,Dalbeattie,S12000006,Dumfries and Galloway,,4172
20210616,S02001417,Dalbeattie Rural,S12000006,Dumfries and Galloway,,2415
20210616,S02001418,Glenkens,S12000006,Dumfries and Galloway,,3754
20210616,S02001419,Upper Nithsdale,S12000006,Dumfries and Galloway,16,4607
20210616,S02001420,Thornhill,S12000006,Dumfries and Galloway,,4053
20210616,S02001421,Mid Nithsdale,S12000006,Dumfries and Galloway,,4526
20210616,S02001422,Shawhead,S12000006,Dumfries and Galloway,,3529
20210616,S02001423,Lochside and Lincluden,S12000006,Dumfries and Galloway,,5618
20210616,S02001424,Summerville,S12000006,Dumfries and Galloway,,4594
20210616,S02001425,Troqueer,S12000006,Dumfries and Galloway,,3519
20210616,S02001426,New Abbey,S12000006,Dumfries and Galloway,,3344
20210616,S02001427,Kingholm,S12000006,Dumfries and Galloway,,3096
20210616,S02001428,Calside,S12000006,Dumfries and Galloway,,2705
20210616,S02001429,Georgetown,S12000006,Dumfries and Galloway,,2738
20210616,S02001430,Dumfries Central,S12000006,Dumfries and Galloway,,3387
20210616,S02001431,Nunholm,S12000006,Dumfries and Galloway,,3358
20210616,S02001432,Locharbriggs,S12000006,Dumfries and Galloway,,2934
20210616,S02001433,Heathhall,S12000006,Dumfries and Galloway,,2804
20210616,S02001434,Collin,S12000006,Dumfries and Galloway,,3919
20210616,S02001435,Lochmaben,S12000006,Dumfries and Galloway,,3379
20210616,S02001436,Lockerbie,S12000006,Dumfries and Galloway,,4966
20210616,S02001437,Moffat,S12000006,Dumfries and Galloway,,3718
20210616,S02001438,Langholm and Eskdale,S12000006,Dumfries and Galloway,,3742
20210616,S02001439,Annandale East,S12000006,Dumfries and Galloway,,3947
20210616,S02001440,Annandale West,S12000006,Dumfries and Galloway,,2499
20210616,S02001441,Annan West,S12000006,Dumfries and Galloway,,3065
20210616,S02001442,Annan East,S12000006,Dumfries and Galloway,,5537
20210616,S02001443,Eastriggs,S12000006,Dumfries and Galloway,,2869
20210616,S02001444,Gretna,S12000006,Dumfries and Galloway,,4055
20210616,S02001445,Westend,S12000042,Dundee City,10,5729
20210616,S02001446,Perth Road,S12000042,Dundee City,14,7637
20210616,S02001447,Logie and Blackness,S12000042,Dundee City,9,5633
20210616,S02001448,City Centre,S12000042,Dundee City,12,4918
20210616,S02001449,Docks and Wellgate,S12000042,Dundee City,17,5486
20210616,S02001450,Hilltown,S12000042,Dundee City,20,4739
20210616,S02001451,The Glens,S12000042,Dundee City,18,4833
20210616,S02001452,Stobswell,S12000042,Dundee City,25,5807
20210616,S02001453,Baxter Park,S12000042,Dundee City,15,3218
20210616,S02001454,Craigie and  Craigiebank,S12000042,Dundee City,35,4306
20210616,S02001455,Douglas West,S12000042,Dundee City,16,4418
20210616,S02001456,West Ferry,S12000042,Dundee City,11,3121
20210616,S02001457,Douglas East,S12000042,Dundee City,14,2763
20210616,S02001458,Broughty Ferry West,S12000042,Dundee City,7,5130
20210616,S02001459,Broughty Ferry East,S12000042,Dundee City,3,3712
20210616,S02001460,Barnhill,S12000042,Dundee City,17,4433
20210616,S02001461,West Pitkerro,S12000042,Dundee City,14,6571
20210616,S02001462,Whitfield,S12000042,Dundee City,21,6098
20210616,S02001463,Fintry,S12000042,Dundee City,16,6420
20210616,S02001464,Linlathen and Midcraigie,S12000042,Dundee City,13,5295
20210616,S02001465,Caird Park,S12000042,Dundee City,11,3285
20210616,S02001466,Kirkton,S12000042,Dundee City,22,4080
20210616,S02001467,Downfield,S12000042,Dundee City,9,4838
20210616,S02001468,Fairmuir,S12000042,Dundee City,13,3686
20210616,S02001469,Law,S12000042,Dundee City,15,4723
20210616,S02001470,Balgay,S12000042,Dundee City,19,3796
20210616,S02001471,Menzieshill,S12000042,Dundee City,8,4457
20210616,S02001472,Charleston,S12000042,Dundee City,14,4262
20210616,S02001473,Lochee,S12000042,Dundee City,27,5584
