Date,IntZone,IntZoneName,CA,CAName,Positive7Day,Population
20210707,S02001236,Culter,S12000033,Aberdeen City,14,4733
20210707,S02001237,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,13,4831
20210707,S02001238,"Cults, Bieldside and Milltimber East",S12000033,Aberdeen City,22,6840
20210707,S02001239,Garthdee,S12000033,Aberdeen City,19,5581
20210707,S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,12,4487
20210707,S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,12,4008
20210707,S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,16,5040
20210707,S02001243,Hazlehead,S12000033,Aberdeen City,8,5648
20210707,S02001244,Summerhill,S12000033,Aberdeen City,9,3801
20210707,S02001245,Midstocket,S12000033,Aberdeen City,33,4544
20210707,S02001246,Rosemount,S12000033,Aberdeen City,13,5605
20210707,S02001247,West End North,S12000033,Aberdeen City,30,3647
20210707,S02001248,West End South,S12000033,Aberdeen City,25,6266
20210707,S02001249,City Centre West,S12000033,Aberdeen City,26,3949
20210707,S02001250,City Centre East,S12000033,Aberdeen City,9,2541
20210707,S02001251,Ferryhill North,S12000033,Aberdeen City,25,4991
20210707,S02001252,Ferryhill South,S12000033,Aberdeen City,16,4949
20210707,S02001253,"Kincorth, Leggart and Nigg North",S12000033,Aberdeen City,15,3938
20210707,S02001254,"Kincorth, Leggart and Nigg South",S12000033,Aberdeen City,27,5072
20210707,S02001255,Cove South,S12000033,Aberdeen City,26,3987
20210707,S02001256,Cove North,S12000033,Aberdeen City,25,3505
20210707,S02001257,Torry West,S12000033,Aberdeen City,32,5284
20210707,S02001258,Torry East,S12000033,Aberdeen City,26,4312
20210707,S02001259,Hanover South,S12000033,Aberdeen City,9,3282
20210707,S02001260,Hanover North,S12000033,Aberdeen City,19,4042
20210707,S02001261,George Street,S12000033,Aberdeen City,16,7105
20210707,S02001262,Ashgrove,S12000033,Aberdeen City,14,3785
20210707,S02001263,"Froghall, Powis and Sunnybank",S12000033,Aberdeen City,21,5654
20210707,S02001264,Seaton,S12000033,Aberdeen City,20,4621
20210707,S02001265,Old Aberdeen,S12000033,Aberdeen City,11,4255
20210707,S02001266,Tillydrone,S12000033,Aberdeen City,16,5416
20210707,S02001267,Woodside,S12000033,Aberdeen City,19,3923
20210707,S02001268,Hilton,S12000033,Aberdeen City,14,6138
20210707,S02001269,Stockethill,S12000033,Aberdeen City,7,5391
20210707,S02001270,Mastrick,S12000033,Aberdeen City,15,4612
20210707,S02001271,Sheddocksley,S12000033,Aberdeen City,14,4840
20210707,S02001272,Cummings Park,S12000033,Aberdeen City,19,3436
20210707,S02001273,Northfield,S12000033,Aberdeen City,24,5355
20210707,S02001274,Heathryfold and Middlefield,S12000033,Aberdeen City,29,4959
20210707,S02001275,Kingswells,S12000033,Aberdeen City,24,5986
20210707,S02001276,Bucksburn South,S12000033,Aberdeen City,11,4458
20210707,S02001277,Bucksburn North,S12000033,Aberdeen City,13,5304
20210707,S02001278,Dyce,S12000033,Aberdeen City,28,5247
20210707,S02001279,Danestone,S12000033,Aberdeen City,14,3961
20210707,S02001280,Oldmachar West,S12000033,Aberdeen City,22,4480
20210707,S02001281,Oldmachar East,S12000033,Aberdeen City,34,4771
20210707,S02001282,Balgownie and Donmouth West,S12000033,Aberdeen City,13,3668
20210707,S02001283,Balgownie and Donmouth East,S12000033,Aberdeen City,8,2630
20210707,S02001284,Denmore,S12000033,Aberdeen City,16,3792
