Time period,Local Authority,MSOA code,MSOA name (EN),MSOA name (CY),Cases,"Incidence per 100,000 population"
20210707,Anglesey,W02000001,Amlwch & Llannerch-y-medd,Amlwch a Llannerch-y-medd,28,322.4
20210707,Anglesey,W02000002,"Rhos-y-bol, Marian-glas & Moelfre","Rhos-y-bol, Marian-glas a Moelfre",7,109.1
20210707,Anglesey,W02000003,Holyhead,Caergybi,16,149.3
20210707,Anglesey,W02000004,Llain-goch & Valley,Llain-goch a'r Fali,10,136.6
20210707,Anglesey,W02000005,Beaumaris & Benllech,Biwmares a Benllech,14,165.7
20210707,Anglesey,W02000006,Llangefni,Llangefni,4,56.5
20210707,Anglesey,W02000007,Bodedern & Rhosneigr,Bodedern a Rhosneigr,8,111.2
20210707,Anglesey,W02000008,Llanfair Pwllgwyngyll & Menai Bridge,Llanfair Pwllgwyngyll a Phorthaethwy,3,48.2
20210707,Anglesey,W02000009,Newborough,Niwbwrch,9,113.3
20210707,Blaenau Gwent,W02000314,Rassau & Beaufort,Rasa a Chendl,8,113.6
20210707,Blaenau Gwent,W02000315,Bryn-mawr,Bryn-mawr,5,90.1
20210707,Blaenau Gwent,W02000316,Sirhowy,Sirhywi,0-2,<29
20210707,Blaenau Gwent,W02000317,Ebbw Vale North & Glyncoed,Gogledd Glynebwy a Glyncoed,16,204.1
20210707,Blaenau Gwent,W02000318,Blaina & Nantyglo,Blaenau a Nant-y-glo,7,73.8
20210707,Blaenau Gwent,W02000319,Tredegar & Georgetown,Tredegar a Georgetown,3,35.9
20210707,Blaenau Gwent,W02000320,Ebbw Vale South & Cwm,De Glynebwy a Chwm,10,117.9
20210707,Blaenau Gwent,W02000321,Abertillery North & Cwmtillery,Gogledd Abertyleri a Chwmtyleri,0-2,<23
20210707,Blaenau Gwent,W02000322,Abertillery South & Llanhilleth,De Abertyleri a Llanhiledd,7,99.6
20210707,Bridgend,W02000218,Caerau,Caerau,7,98.9
20210707,Bridgend,W02000219,Maesteg East,Dwyrain Maesteg,8,108.2
20210707,Bridgend,W02000220,"Nant-y-moel, Ogmore Vale & Blackmill","Nant-y-moel, Cwmogwr a Melin Ifan Ddu",10,122.9
20210707,Bridgend,W02000221,"Blaengarw, Pontycymer & Bettws","Blaengarw, Pontycymer a Betws",12,153.4
20210707,Bridgend,W02000222,"Maesteg West, Garth & Llangynwyd","Gorllewin Maesteg, Garth a Llangynwyd",3,48.6
20210707,Bridgend,W02000223,Ynysawdre & Aberkenfig,Ynysawdre ac Abercynffig,12,190.4
20210707,Bridgend,W02000224,"Sarn, Bryn-coch & Bryncethin","Sarn, Bryn-coch a Bryncethin",38,565.6
20210707,Bridgend,W02000225,"Pyle, Kenfig Hill & Cefncribwr","Y P”l, Mynydd Cynffig a Chefncribwr",10,107.6
20210707,Bridgend,W02000226,"Pen-prysg, Hendre & Felindre","Pen-prysg, Hendre a Felindre",9,86.9
20210707,Bridgend,W02000227,Cornelly,Corneli,3,39.5
20210707,Bridgend,W02000228,"Pen-dre, Litchard & Coity","Pen-dre, Llidiard a Choety",11,105.6
